customer_id,age,gender,tenure_months,contract_type,internet_service,payment_method,paperless_billing,monthly_charges,total_charges,support_tickets,churn_score,churn
C10104,22.0,Female,5,One year,No,Credit card,No,79.31,345.39,0,10.2,No
C10105,76.0,Male,34,One year,DSL,Credit card,Yes,78.06,2804.14,3,19.5,No
C10106,47.0,Male,44,Month-to-month,Fiber optic,Electronic check,Yes,98.81,4056.65,2,42.1,No
C10107,35.0,Female,69,Month-to-month,Fiber optic,Bank transfer,Yes,96.89,6073.62,1,48.3,No
C10108,60.0,Female,38,Month-to-month,Fiber optic,Mailed check,Yes,56.75,2234.14,2,31.0,No
C10109,120.0,Female,25,Two year,Fiber optic,Credit card,No,73.21,2005.3,2,19.3,No
C10110,22.0,Male,40,Month-to-month,No,Credit card,Yes,51.28,1906.91,1,27.1,No
C10111,33.0,Female,12,Month-to-month,Fiber optic,Credit card,Yes,65.51,788.94,0,47.8,Yes
C10112,45.0,Male,6,Month-to-month,Fiber optic,Electronic check,Yes,51.81,288.56,1,40.1,Yes
C10113,40.0,Male,49,One year,DSL,Mailed check,Yes,210.5,4929.67,1,4.0,No
C10114,29.0,Female,71,Month-to-month,Fiber optic,Bank transfer,No,73.0,5275.79,0,31.2,No
C10115,39.0,Female,61,Two year,Fiber optic,Bank transfer,Yes,60.2,3726.51,1,10.2,No
C10116,38.0,Female,42,One year,DSL,Mailed check,No,91.26,3903.28,2,0.0,No
C10117,50.0,Male,2,One year,DSL,Electronic check,Yes,18.0,31.91,4,8.7,Yes
C10118,52.0,Female,72,Month-to-month,No,Electronic check,No,20.69,1545.18,1,12.7,No
C10119,72.0,Female,32,One year,DSL,Bank transfer,Yes,82.51,2725.29,14,12.2,No
C10120,68.0,Female,21,One year,Fiber optic,Mailed check,Yes,66.33,1440.71,2,16.1,No
C10121,36.0,Female,65,One year,DSL,Mailed check,No,70.51,3987.34,0,7.8,No
C10122,73.0,Female,54,Month-to-month,No,Credit card,Yes,35.82,1877.5,2,17.0,No
C10123,50.0,Male,54,Month-to-month,DSL,Electronic check,Yes,64.49,3344.69,0,19.2,Yes
C10124,29.0,Female,20,Month-to-month,No,Credit card,No,109.08,1905.44,1,30.7,No
C10125,39.0,Female,72,Month-to-month,DSL,Mailed check,Yes,83.13,5446.91,3,25.2,Yes
C10126,63.0,Female,33,Month-to-month,No,Credit card,No,68.73,2197.92,3,43.5,Yes
C10127,68.0,Male,38,Month-to-month,Fiber optic,Credit card,No,55.34,2209.3,0,33.6,No
C10128,41.0,Female,54,Month-to-month,DSL,Bank transfer,No,56.32,2779.75,1,13.7,No
C10129,27.0,Female,48,One year,Fiber optic,Mailed check,No,18.16,936.21,2,9.0,No
C10130,29.0,Female,12,Month-to-month,DSL,Electronic check,Yes,70.67,845.81,1,43.2,Yes
C10131,24.0,Male,22,Two year,DSL,Electronic check,Yes,83.6,1940.93,3,17.9,No
C10132,61.0,Male,26,One year,No,Credit card,Yes,30.34,771.16,1,3.8,No
C10133,49.0,Male,69,Month-to-month,No,Electronic check,Yes,50.45,3428.08,3,27.0,Yes
C10134,45.0,Male,52,One year,Fiber optic,Mailed check,No,39.54,2091.7,0,8.6,No
C10135,59.0,Male,26,Month-to-month,DSL,Mailed check,Yes,43.76,1252.16,0,29.1,Yes
C10136,69.0,Female,53,Two year,DSL,Bank transfer,Yes,66.18,3447.17,0,3.8,No
C10137,67.0,Female,53,Month-to-month,Fiber optic,Credit card,Yes,19.14,1007.05,2,21.3,Yes
C10138,26.0,Female,28,One year,Fiber optic,Bank transfer,Yes,78.51,2225.84,0,14.2,Yes
C10139,54.0,Male,29,Month-to-month,Fiber optic,Credit card,No,81.58,2482.05,0,41.1,Yes
C10140,72.0,Male,65,Month-to-month,DSL,Bank transfer,Yes,59.48,3361.27,2,17.0,No
C10141,65.0,Male,41,Month-to-month,DSL,Mailed check,Yes,18.0,730.06,2,14.6,Yes
C10142,38.0,Male,10,Two year,No,Electronic check,No,43.08,422.2,2,6.9,No
C10143,42.0,Female,52,One year,Fiber optic,Electronic check,No,92.12,5263.78,0,16.4,No
C10144,73.0,Female,43,Month-to-month,No,Mailed check,Yes,18.0,761.03,3,33.3,No
C10145,20.0,Female,37,Month-to-month,Fiber optic,Electronic check,No,57.35,2071.97,0,29.4,No
C10146,3.0,Male,52,Month-to-month,DSL,Mailed check,Yes,39.04,2252.97,2,20.4,No
C10147,25.0,Male,66,Month-to-month,Fiber optic,Mailed check,No,82.7,5303.49,3,36.8,No
C10148,73.0,Female,24,Month-to-month,DSL,Mailed check,Yes,50.15,1081.84,0,33.4,Yes
C10149,20.0,Female,30,Month-to-month,DSL,Credit card,Yes,73.89,2014.02,4,42.3,Yes
C10150,19.0,Male,13,Two year,No,Credit card,No,77.44,881.59,1,13.2,No
C10151,38.0,Male,47,Two year,No,Bank transfer,Yes,105.4,4211.49,0,8.3,No
C10152,30.0,Male,29,Month-to-month,Fiber optic,Electronic check,Yes,60.54,1697.07,0,45.5,Yes
C10153,48.0,Male,24,One year,Fiber optic,Mailed check,Yes,73.27,1859.94,1,19.4,No
C10154,36.0,Female,50,Month-to-month,Fiber optic,Bank transfer,Yes,32.33,1694.15,0,31.5,Yes
C10155,40.0,Female,29,One year,Fiber optic,Bank transfer,Yes,91.19,2270.79,1,34.4,No
C10156,53.0,Male,33,Month-to-month,DSL,Mailed check,Yes,48.27,1599.11,0,26.1,No
C10157,52.0,Male,32,One year,DSL,Mailed check,Yes,52.66,1502.55,1,4.2,No
C10158,75.0,Male,18,One year,DSL,Mailed check,No,64.51,1282.05,2,9.1,No
C10159,47.0,Male,9,One year,No,Bank transfer,No,30.62,246.7,5,20.5,No
C10160,52.0,Male,60,Month-to-month,DSL,Electronic check,Yes,70.03,4282.44,1,13.1,No
C10161,60.0,Female,6,Two year,DSL,Bank transfer,Yes,86.28,485.63,3,17.6,Yes
C10162,28.0,Female,23,Month-to-month,Fiber optic,Electronic check,Yes,71.44,1681.28,0,41.4,No
C10163,59.0,Male,48,Month-to-month,Fiber optic,Bank transfer,Yes,30.04,1386.13,2,16.7,Yes
C10164,71.0,Male,9,One year,DSL,Credit card,No,62.28,591.41,1,6.7,No
C10165,37.0,Female,47,Month-to-month,No,Bank transfer,Yes,81.32,3486.78,1,17.1,No
C10166,29.0,Male,53,Two year,Fiber optic,Mailed check,Yes,23.68,1373.72,1,7.0,No
C10167,39.0,Female,48,One year,DSL,Credit card,Yes,41.36,1955.61,1,12.5,No
C10168,35.0,Female,22,Month-to-month,DSL,Bank transfer,Yes,84.28,1954.55,2,22.7,No
C10169,54.0,Male,1,Two year,Fiber optic,Mailed check,No,70.94,76.57,18,15.1,No
C10170,71.0,Male,64,Month-to-month,Fiber optic,Electronic check,No,74.06,5307.12,0,14.3,No
C10171,54.0,Female,23,Month-to-month,No,Electronic check,Yes,105.91,2217.83,1,35.1,No
C10172,25.0,Female,58,Month-to-month,DSL,Electronic check,Yes,75.31,4051.13,0,15.6,Yes
C10173,37.0,Male,14,Two year,Fiber optic,Electronic check,No,79.47,1020.92,3,26.9,No
C10174,60.0,Male,11,Month-to-month,No,Bank transfer,Yes,124.64,1262.69,1,44.6,Yes
C10175,38.0,Female,56,Month-to-month,Fiber optic,Bank transfer,No,60.3,3401.32,0,35.2,No
C10176,54.0,Male,68,Month-to-month,No,Credit card,No,47.45,3608.15,0,18.5,No
C10177,61.0,Female,62,Two year,Fiber optic,Bank transfer,Yes,74.41,5154.92,2,5.8,No
C10178,38.0,Male,54,Two year,DSL,Credit card,No,74.66,4000.31,3,12.2,No
C10179,58.0,Female,18,One year,Fiber optic,Bank transfer,Yes,53.41,983.05,3,29.9,Yes
C10180,42.0,Male,66,Two year,Fiber optic,Mailed check,No,42.29,3020.55,1,3.1,Yes
C10181,26.0,Male,48,Two year,No,Bank transfer,Yes,115.82,6125.81,1,0.0,No
C10182,41.0,Male,12,Month-to-month,Fiber optic,Mailed check,Yes,72.19,784.02,0,39.4,No
C10183,45.0,Male,9,Month-to-month,Fiber optic,Mailed check,Yes,48.89,436.8,0,46.5,Yes
C10184,18.0,Male,63,One year,Fiber optic,Mailed check,Yes,85.15,5766.06,1,21.7,No
C10185,73.0,Male,20,One year,DSL,Bank transfer,Yes,62.6,1166.69,0,8.4,No
C10186,50.0,Male,55,Month-to-month,DSL,Mailed check,Yes,59.44,3167.03,1,13.4,YES
C10187,20.0,Male,10,Month-to-month,No,Bank transfer,Yes,77.37,863.54,3,32.9,Yes
C10188,71.0,Male,20,One year,Fiber optic,Credit card,Yes,36.58,816.44,2,23.3,No
C10189,71.0,Male,20,Month-to-month,Fiber optic,Mailed check,Yes,72.76,1592.93,3,41.4,No
C10190,18.0,Male,20,Two year,Fiber optic,Mailed check,No,107.09,2282.26,2,31.3,No
C10191,28.0,Male,49,Month-to-month,DSL,Mailed check,No,75.26,3402.55,0,22.9,No
C10192,40.0,Female,66,Month-to-month,No,Credit card,Yes,56.72,3506.29,0,20.6,No
C10193,49.0,Male,66,Two year,DSL,Electronic check,Yes,53.84,3545.5,1,2.7,No
C10194,62.0,Female,54,Month-to-month,DSL,Credit card,No,55.97,3026.64,1,21.4,No
C10195,44.0,Male,14,Month-to-month,Fiber optic,Mailed check,No,59.41,820.5,4,53.0,No
C10196,55.0,Female,70,One year,No,Credit card,Yes,56.69,4055.21,1,0.0,No
C10197,18.0,Male,39,Two year,DSL,Credit card,No,85.16,3189.21,5,17.1,No
C10198,58.0,Female,39,Month-to-month,Fiber optic,Credit card,Yes,26.87,1102.71,2,27.9,No
C10199,74.0,Male,51,Month-to-month,Fiber optic,Credit card,Yes,83.96,4025.29,1,34.7,No
C10200,50.0,Male,56,One year,Fiber optic,Electronic check,No,56.65,2979.78,1,0.0,No
C10201,46.0,Female,69,Two year,Fiber optic,Bank transfer,No,73.29,4472.17,0,15.7,No
C10202,36.0,Male,42,Month-to-month,Fiber optic,Electronic check,No,40.21,1521.55,3,48.8,No
C10203,77.0,Female,44,Month-to-month,Fiber optic,Mailed check,Yes,94.23,,1,38.2,No
C10204,20.0,Male,54,Month-to-month,DSL,Electronic check,Yes,92.4,4842.39,0,29.4,No
C10205,35.0,Male,18,Month-to-month,Fiber optic,Bank transfer,Yes,86.11,1412.84,1,45.4,No
C10206,26.0,Female,22,Month-to-month,Fiber optic,Bank transfer,Yes,31.68,735.31,4,48.1,No
C10207,71.0,Female,45,One year,No,Bank transfer,Yes,83.24,3744.21,6,9.3,No
C10208,47.0,Female,4,Month-to-month,DSL,Electronic check,Yes,73.91,252.98,4,35.1,No
C10209,75.0,Female,23,Month-to-month,DSL,Mailed check,Yes,29.68,638.55,1,26.3,Yes
C10210,59.0,Female,52,One year,Fiber optic,Bank transfer,No,64.47,3009.79,0,14.8,No
C10211,52.0,Male,71,One year,No,Credit card,Yes,73.02,5324.84,2,9.8,No
C10212,50.0,Male,37,Month-to-month,Fiber optic,Credit card,Yes,77.23,2641.08,0,25.8,No
C10213,30.0,Female,29,One year,Fiber optic,Electronic check,No,68.9,1733.42,3,25.6,No
C10214,52.0,Female,32,One year,No,Mailed check,Yes,71.41,1976.25,2,4.1,No
C10215,60.0,Female,50,One year,DSL,Electronic check,No,97.42,4905.42,1,8.4,No
C10216,77.0,Male,39,Month-to-month,DSL,Credit card,Yes,91.97,3069.84,2,20.0,Yes
C10217,52.0,Female,1,Month-to-month,DSL,Electronic check,Yes,18.0,19.43,3,42.1,No
C10218,76.0,Female,39,Two year,DSL,Credit card,No,58.02,2018.3,2,8.5,No
C10219,76.0,Female,29,Month-to-month,Fiber optic,Electronic check,Yes,61.38,1804.54,1,41.5,No
C10220,50.0,Female,51,Month-to-month,Fiber Optic,Electronic check,Yes,26.45,1308.57,1,36.1,No
C10221,45.0,Male,63,Month-to-month,Fiber optic,Credit card,No,67.07,4096.83,1,28.2,No
C10222,26.0,Female,70,One year,Fiber optic,Mailed check,Yes,92.47,5627.44,2,14.7,No
C10223,34.0,Male,44,Two year,No,Mailed check,No,41.1,1929.1,3,0.1,No
C10224,72.0,Male,26,Month-to-month,Fiber optic,Bank transfer,No,72.4,2053.93,1,48.1,No
C10225,26.0,Male,32,Two year,DSL,Mailed check,No,44.85,1224.19,2,3.4,No
C10226,42.0,Female,12,Month-to-month,DSL,Bank transfer,Yes,50.22,541.31,1,32.1,Yes
C10227,61.0,Male,68,One year,DSL,Mailed check,Yes,97.5,7253.58,3,13.6,No
C10228,32.0,Female,61,One year,Fiber optic,Mailed check,No,53.06,3231.36,0,1.7,No
C10229,78.0,Male,62,Month-to-month,Fiber optic,Mailed check,Yes,75.17,4150.26,0,26.3,No
C10230,58.0,Male,23,Month-to-month,No,Electronic check,Yes,23.83,495.89,2,38.3,No
C10231,19.0,Female,23,Month-to-month,DSL,Mailed check,Yes,105.97,2506.03,1,39.2,Yes
C10232,33.0,Male,62,Two year,DSL,Bank transfer,Yes,78.26,5073.86,1,0.0,No
C10233,63.0,Male,39,One year,No,Electronic check,Yes,60.99,2406.79,2,5.8,No
C10234,71.0,Male,51,Two year,DSL,Electronic check,Yes,77.66,,2,3.1,No
C10235,75.0,Female,35,One year,Fiber optic,Bank transfer,Yes,33.98,1169.55,1,40.7,No
C10236,70.0,Male,32,Month-to-month,DSL,Mailed check,Yes,91.02,2711.88,0,39.7,No
C10237,22.0,Female,46,One year,Fiber optic,Electronic check,No,57.87,2605.73,2,5.7,No
C10238,63.0,Female,59,Month-to-month,DSL,Bank transfer,Yes,60.51,3381.27,2,26.5,No
C10239,24.0,Male,24,Month-to-month,No,Credit card,Yes,54.18,1184.06,1,19.0,Yes
C10240,22.0,Female,59,Two year,DSL,Electronic check,Yes,52.23,2657.58,1,4.6,No
C10241,60.0,Male,17,One year,Fiber optic,Electronic check,Yes,80.28,1289.83,1,32.0,Yes
C10242,47.0,Female,29,Month-to-month,Fiber optic,Mailed check,No,70.63,2134.46,2,41.3,No
C10243,58.0,Female,66,Month-to-month,No,Bank transfer,No,79.34,4477.04,0,7.6,No
C10244,70.0,Female,69,One year,Fiber optic,Electronic check,Yes,64.81,4331.38,1,5.6,No
C10245,22.0,Male,67,Two year,Fiber optic,Credit card,Yes,76.29,5233.5,2,16.7,No
C10246,50.0,Male,23,One year,Fiber optic,Mailed check,Yes,55.79,,0,22.3,Yes
C10247,69.0,Female,61,Month-to-month,Fiber optic,Electronic check,Yes,114.05,7372.35,0,33.0,No
C10248,45.0,Male,68,Month-to-month,Fiber optic,Credit card,Yes,30.51,2217.5,1,25.9,No
C10249,50.0,Female,71,Month-to-month,DSL,Electronic check,Yes,92.74,6862.15,0,22.6,No
C10250,48.0,Male,1,One year,Fiber optic,Electronic check,Yes,95.09,83.47,2,30.2,No
C10251,74.0,Female,54,Two year,Fiber optic,Credit card,Yes,46.25,2443.19,5,26.0,No
C10252,21.0,Male,72,Month-to-month,fiber optic,Bank transfer,Yes,114.04,8316.96,2,44.3,No
C10253,72.0,Female,55,Month-to-month,Fiber optic,Mailed check,Yes,86.9,4379.47,1,32.7,No
C10254,68.0,Female,17,Month-to-month,Fiber optic,Bank transfer,Yes,86.37,1264.92,3,44.0,No
C10255,68.0,Male,55,One year,DSL,Bank transfer,Yes,65.62,3285.61,1,0.0,No
C10256,43.0,Male,7,One year,Fiber optic,Bank transfer,Yes,60.22,410.08,2,23.2,No
C10257,49.0,Female,35,Month-to-month,Fiber optic,Electronic check,Yes,60.39,2032.83,2,33.9,No
C10258,40.0,Male,45,Month-to-month,Fiber optic,Bank transfer,Yes,73.59,2972.78,1,28.6,No
C10259,33.0,Male,33,One year,Fiber optic,Mailed check,Yes,95.83,3391.95,0,29.8,Yes
C10260,72.0,Female,51,Month-to-month,Fiber optic,Credit card,No,68.99,3870.11,0,23.2,No
C10261,,Female,17,Two year,Fiber optic,Bank transfer,No,44.95,691.07,0,13.9,No
C10262,62.0,Male,44,Month-to-month,No,Electronic check,Yes,83.14,4027.58,1,17.4,Yes
C10263,24.0,Male,47,Month-to-month,Fiber optic,Credit card,Yes,85.27,3425.86,0,33.0,No
C10264,66.0,Male,46,Two year,DSL,Mailed check,No,79.4,4016.69,3,12.4,No
C10265,58.0,Male,21,Month-to-month,DSL,Mailed check,No,81.4,1892.34,2,33.6,Yes
C10266,79.0,Male,22,Month-to-month,Fiber optic,Credit card,Yes,59.04,1108.27,4,52.4,No
C10267,26.0,Male,18,Month-to-month, Fiber optic,Credit card,Yes,44.56,847.01,1,37.5,No
C10268,51.0,Male,33,Month-to-month,DSL,Credit card,Yes,45.9,1684.28,3,33.6,No
C10269,49.0,Female,42,Month-to-month,No,Bank transfer,Yes,29.02,1334.13,1,14.9,Yes
C10270,51.0,Male,26,Month-to-month,Fiber optic,Credit card,Yes,70.21,2030.08,0,44.5,Yes
C10271,21.0,Male,29,Month-to-month,Fiber optic,Electronic check,Yes,63.16,1829.05,1,44.0,No
C10272,47.0,Female,20,Month-to-month,Fiber optic,Bank transfer,Yes,55.32,963.79,0,29.4,Yes
C10273,36.0,Male,15,One year,Fiber optic,Mailed check,Yes,18.0,291.45,0,15.3,No
C10274,56.0,Male,47,One year,DSL,Mailed check,Yes,37.56,1793.09,0,11.2,Yes
C10275,32.0,Female,59,Month-to-month,Fiber optic,Electronic check,No,89.66,5374.47,2,30.5,Yes
C10276,44.0,Female,21,Month-to-month,Fiber optic,Electronic check,Yes,50.38,1018.47,0,33.5,No
C10277,56.0,Female,62,Month-to-month,No,Mailed check,Yes,72.93,4541.54,1,32.1,No
